Entity_0:  -> created,  at 0
Entity_9:replaced -> PositionComponent, fields[ x - 55.82234 y - 14.55006 ] at 390.6445
Entity_2:replaced -> PositionComponent, fields[ x - 41.75915 y - -12.77165 ] at 406.2694
Entity_3:replaced -> PositionComponent, fields[ x - 55.99905 y - 37.17181 ] at 406.2694
Entity_4:replaced -> PositionComponent, fields[ x - 45.26287 y - 3.774094 ] at 406.2694
Entity_5:replaced -> PositionComponent, fields[ x - 57.99097 y - 14.18685 ] at 406.2694
Entity_6:replaced -> PositionComponent, fields[ x - 52.00298 y - 36.17359 ] at 406.2694
Entity_7:replaced -> PositionComponent, fields[ x - 47.18134 y - -14.22491 ] at 406.2694
Entity_8:replaced -> PositionComponent, fields[ x - 55.17727 y - 35.10654 ] at 406.2694
Entity_9:replaced -> PositionComponent, fields[ x - 55.44255 y - 14.55006 ] at 406.2694
Entity_2:replaced -> PositionComponent, fields[ x - 40.7991 y - -12.77165 ] at 421.8947
Entity_3:replaced -> PositionComponent, fields[ x - 55.77678 y - 37.17181 ] at 421.8947
Entity_4:replaced -> PositionComponent, fields[ x - 44.39598 y - 3.774094 ] at 421.8947
Entity_5:replaced -> PositionComponent, fields[ x - 57.8654 y - 14.18685 ] at 421.8947
Entity_6:replaced -> PositionComponent, fields[ x - 51.46985 y - 36.17359 ] at 421.8947
Entity_7:replaced -> PositionComponent, fields[ x - 46.26572 y - -14.22491 ] at 421.8947
Entity_8:replaced -> PositionComponent, fields[ x - 54.80629 y - 35.10654 ] at 421.8947
Entity_9:replaced -> PositionComponent, fields[ x - 55.06276 y - 14.55006 ] at 421.8947
Entity_2:replaced -> PositionComponent, fields[ x - 39.83906 y - -12.77165 ] at 437.5949
Entity_3:replaced -> PositionComponent, fields[ x - 55.5545 y - 37.17181 ] at 437.5949
Entity_4:replaced -> PositionComponent, fields[ x - 43.52909 y - 3.774094 ] at 437.5949
Entity_5:replaced -> PositionComponent, fields[ x - 57.73984 y - 14.18685 ] at 437.5949
Entity_6:replaced -> PositionComponent, fields[ x - 50.93671 y - 36.17359 ] at 437.5949
Entity_7:replaced -> PositionComponent, fields[ x - 45.3501 y - -14.22491 ] at 437.5949
Entity_8:replaced -> PositionComponent, fields[ x - 54.43531 y - 35.10654 ] at 437.5949
Entity_9:replaced -> PositionComponent, fields[ x - 54.68298 y - 14.55006 ] at 437.5949
Entity_2:replaced -> PositionComponent, fields[ x - 38.87901 y - -12.77165 ] at 453.1458
Entity_3:replaced -> PositionComponent, fields[ x - 55.33223 y - 37.17181 ] at 453.1458
Entity_4:replaced -> PositionComponent, fields[ x - 42.6622 y - 3.774094 ] at 453.1458
Entity_5:replaced -> PositionComponent, fields[ x - 57.61427 y - 14.18685 ] at 453.1458
Entity_6:replaced -> PositionComponent, fields[ x - 50.40358 y - 36.17359 ] at 453.1458
Entity_7:replaced -> PositionComponent, fields[ x - 44.43448 y - -14.22491 ] at 453.1458
Entity_8:replaced -> PositionComponent, fields[ x - 54.06433 y - 35.10654 ] at 453.1458
Entity_9:replaced -> PositionComponent, fields[ x - 54.30319 y - 14.55006 ] at 453.1458
Entity_2:replaced -> PositionComponent, fields[ x - 37.91897 y - -12.77165 ] at 468.7742
Entity_3:replaced -> PositionComponent, fields[ x - 55.10995 y - 37.17181 ] at 468.7742
Entity_4:replaced -> PositionComponent, fields[ x - 41.79531 y - 3.774094 ] at 468.7742
Entity_5:replaced -> PositionComponent, fields[ x - 57.48871 y - 14.18685 ] at 468.7742
Entity_6:replaced -> PositionComponent, fields[ x - 49.87045 y - 36.17359 ] at 468.7742
Entity_7:replaced -> PositionComponent, fields[ x - 43.51886 y - -14.22491 ] at 468.7742
Entity_8:replaced -> PositionComponent, fields[ x - 53.69335 y - 35.10654 ] at 468.7742
Entity_9:replaced -> PositionComponent, fields[ x - 53.9234 y - 14.55006 ] at 468.7742
Entity_2:replaced -> PositionComponent, fields[ x - 36.95892 y - -12.77165 ] at 484.3974
Entity_3:replaced -> PositionComponent, fields[ x - 54.88768 y - 37.17181 ] at 484.3974
Entity_4:replaced -> PositionComponent, fields[ x - 40.92842 y - 3.774094 ] at 484.3974
Entity_5:replaced -> PositionComponent, fields[ x - 57.36314 y - 14.18685 ] at 484.3974
Entity_6:replaced -> PositionComponent, fields[ x - 49.33731 y - 36.17359 ] at 484.3974
Entity_7:replaced -> PositionComponent, fields[ x - 42.60324 y - -14.22491 ] at 484.3974
Entity_8:replaced -> PositionComponent, fields[ x - 53.32237 y - 35.10654 ] at 484.3974
Entity_9:replaced -> PositionComponent, fields[ x - 53.54361 y - 14.55006 ] at 484.3974
Entity_2:replaced -> PositionComponent, fields[ x - 35.99888 y - -12.77165 ] at 500.0231
